kind,transition,from_isco,to_isco,n_from_esco,n_to_esco,pair_count,cosine_median,cosine_mean,distance_0_10,headline_distance,delta
a_to_c,Admin/secretarial -> Care assistant,4110+4120,5321+5322,3,3,9,0.1234,0.1288,8.8,6,2.8
a_to_c,Customer service clerk -> Care assistant,4222+4229,5321+5322,3,3,9,0.1924,0.1558,8.1,5,3.1
a_to_c,Admin/secretarial -> Registered nurse,4110+4120,2221,3,3,9,0.1833,0.1752,8.2,8,0.2
a_to_c,Business admin prof -> Electrician,2421+2411,7411+7412,21,20,420,0.091,0.0912,9.1,8,1.1
a_to_c,General clerk -> Plumber/HVAC,4110+4120,7126,3,14,42,0.0528,0.0556,9.5,8,1.5
a_to_c,Legal/social prof -> Early childhood educator,2611+2635,2342,39,3,117,0.3082,0.3065,6.9,5,1.9
a_to_c,Admin/secretarial -> Construction worker,4110+4120,7112+7113+7114+7119+9313,3,11,33,0.061,0.0598,9.4,9,0.4
a_to_c,Numerical clerk -> Truck/logistics driver,4311+4312,8332,10,9,90,0.1108,0.1258,8.9,6,2.9
a_to_aplus,Business admin prof -> Compliance/regulatory specialist,2421+2411,2422+2411+2619,21,57,1197,0.2904,0.3068,7.1,2,5.1
a_to_aplus,Legal professional -> AI governance specialist,2611,2619+2422,3,44,132,0.3489,0.3613,6.5,2,4.5
a_to_aplus,Business admin prof -> AI-augmented ops coordinator,2421+2411,2421+1213,21,21,441,0.3143,0.3218,6.9,2,4.9
a_to_aplus,Admin/secretarial -> AI-augmented ops coordinator,4110+4120,2421+1213,3,21,63,0.19,0.1879,8.1,3,5.1
a_to_aplus,Customer service clerk -> AI-human hybrid service designer,4222+4229,2166+2423+2513,3,28,84,0.1038,0.1284,9.0,5,4.0
a_to_aplus,Business admin prof -> Data engineer/AI specialist,2421+2411,2511+2512,21,31,651,0.1706,0.1687,8.3,5,3.3
a_to_aplus,Numerical clerk -> Data analyst,4311+4312,2511,10,21,210,0.1959,0.1922,8.0,5,3.0
a_to_aplus,Admin/secretarial -> Data/AI specialist,4110+4120,2511+2512,3,31,93,0.1323,0.1351,8.7,6,2.7
